material_id,raw_description,quantity,unit_price,normalized_description
IOCL-00066,PUMP-CENTRF-75M3H-40M-SS304,3,321987.82,Pump Centrifugal 75 Cubic Meters Per Hour 40M Stainless Steel 304
IOCL-00009,PIPE-2IN-CS-SCH40-SMLS,201,1219.23,Pipe 2 Inch Carbon Steel Sch40 Seamless
IOCL-00001,fit-elb-2in-cs,275,1935.25,Fitting Elbow 2 Inch Carbon Steel
IOCL-00081,NUT-HX-M16-CS-GR8,367,269.37,Nut Hex M16 Carbon Steel Grade 8
IOCL-00051,Pipe-4In-Ss316-Sch80-Smls,789,4280.19,Pipe 4 Inch Stainless Steel 316 Sch80 Seamless
IOCL-00102,VLV-GATE-6IN-SS316-CL150,144,16337.82,Valve Gate 6 Inch Stainless Steel 316 Class 150
IOCL-00071,VLV-BALL-2IN-SS316,6,45753.79,Valve Ball 2 Inch Stainless Steel 316
IOCL-00103,SEAL-MECH-6IN-SS316,124,16714.28,Seal Mechanical 6 Inch Stainless Steel 316
IOCL-00050,GSKT-SW-3IN-SS316,139,275.94,Gasket Spiral Wound 3 Inch Stainless Steel 316
IOCL-00007,VLV-BALL-3IN-SS316,2,5046.51,Valve Ball 3 Inch Stainless Steel 316
IOCL-00019,vlv-glb-1-1/2in-ss316,7,129271.18,Valve Globe 1 1/2 Inch Stainless Steel 316
IOCL-00039,VLV-BFLY-6IN-CS,26,124653.15,Valve Butterfly 6 Inch Carbon Steel
IOCL-00098,Pipe-8In-Cs-Sch80-Wld,193,588.1,Pipe 8 Inch Carbon Steel Sch80 Welded
IOCL-00143,THERMOWELL SS316 6IN INSERTION,51,19578.91,Thermowell Stainless Steel 316 6 Inch Insertion
IOCL-00142,LIMIT SWITCH ROTARY TYPE,38,4917.59,Limit Switch Rotary Type
IOCL-00083,Vlv-Bfly-8In-Ss316-Cl150,24,41873.03,Valve Butterfly 8 Inch Stainless Steel 316 Class 150
IOCL-00129,SOLENOID VALVE 24VDC 1/2IN,473,233.48,Solenoid Valve 24Vdc 1/2 Inch
IOCL-00014,SEAL - MECH - 6IN - SS316,189,3318.92,Seal Mechanical 6 Inch Stainless Steel 316
IOCL-00080,PIPE-8IN-CS-SCH80-WLD,465,233.37,Pipe 8 Inch Carbon Steel Sch80 Welded
IOCL-00150,control valve positioner pneumatic,49,535.1,Control Valve Positioner Pneumatic
IOCL-00069,VLV-CHK-2IN-SS304,28,104828.17,Valve Check 2 Inch Stainless Steel 304
IOCL-00133,JUNCTION BOX SS304 IP65,445,8996.06,Junction Box Stainless Steel 304 Ip65
IOCL-00104,Flg-Blind-3In-Ss304-Cl150,464,10188.57,Flange Blind 3 Inch Stainless Steel 304 Class 150
IOCL-00084,CPLG-2IN-CS,32,9457.64,Coupling 2 Inch Carbon Steel
IOCL-00135,CABLE GLAND BRASS 20MM NPT,398,410.6,Cable Gland Brass 20Mm Npt Thread
IOCL-00021,FLG-BLIND-6IN-CS-CL150,60,47495.39,Flange Blind 6 Inch Carbon Steel Class 150
IOCL-00013,FIT-ELB-2IN-CS,63,1527.02,Fitting Elbow 2 Inch Carbon Steel
IOCL-00047,FLG-WN-4IN-SS316-CL300,35,35855.76,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
IOCL-00008,BOLT - STUD - 1IN - SS316 - GRB8M,1487,362.39,Bolt Stud 1 Inch Stainless Steel 316 Grade B8M
IOCL-00015,BOLT-HX-M20-SS304-GRB8,239,186.35,Bolt Hex M20 Stainless Steel 304 Grade B8
IOCL-00017,GSKT-SW-2IN-SS316,248,795.8,Gasket Spiral Wound 2 Inch Stainless Steel 316
IOCL-00020,PUMP-CENTRF-200M3H-80M-CS,2,126735.86,Pump Centrifugal 200 Cubic Meters Per Hour 80M Carbon Steel
IOCL-00122,STRAINER Y-TYPE 4IN CS,147,5613.48,Strainer Y Type 4 Inch Carbon Steel
IOCL-00059,fit-tee-3in-cs,287,1256.33,Fitting Tee 3 Inch Carbon Steel
IOCL-00099,Vlv-Gate-2In-Cs-Cl150,38,37170.36,Valve Gate 2 Inch Carbon Steel Class 150
IOCL-00043,CPLG-2IN-CS,71,1208.23,Coupling 2 Inch Carbon Steel
IOCL-00055,pipe - 4in - ss316 - sch80 - smls,735,3038.23,Pipe 4 Inch Stainless Steel 316 Sch80 Seamless
IOCL-00045,Pipe-8In-Cs-Sch80-Wld,481,1153.84,Pipe 8 Inch Carbon Steel Sch80 Welded
IOCL-00068,CPLG-4IN-SS316,59,1231.31,Coupling 4 Inch Stainless Steel 316
IOCL-00082,BOLT-HX-M16-CS-GR8.8,1892,114.94,Bolt Hex M16 Carbon Steel Grade 8.8
IOCL-00048,FIT-TEE-6IN-SS316,265,3879.22,Fitting Tee 6 Inch Stainless Steel 316
IOCL-00132,CABLE GLAND BRASS 20MM NPT,310,10997.24,Cable Gland Brass 20Mm Npt Thread
IOCL-00115,VLV-CHK-2IN-SS304,99,17552.92,Valve Check 2 Inch Stainless Steel 304
IOCL-00052,gskt-sw-2in-ss316,52,695.25,Gasket Spiral Wound 2 Inch Stainless Steel 316
IOCL-00029,flg-blind-3in-ss304-cl150,54,21832.64,Flange Blind 3 Inch Stainless Steel 304 Class 150
IOCL-00038,SEAL-ORING-2IN-SS316,112,6029.1,Seal O-Ring 2 Inch Stainless Steel 316
IOCL-00117,CONTROL VALVE POSITIONER PNEUMATIC,500,16353.58,Control Valve Positioner Pneumatic
IOCL-00003,Flg-Blind-3In-Ss304-Cl150,83,30245.66,Flange Blind 3 Inch Stainless Steel 304 Class 150
IOCL-00114,PUMP-CENTRF-50M3H-30M-CS,415,4220.98,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00085,FIT-TEE-3IN-CS,237,2642.07,Fitting Tee 3 Inch Carbon Steel
IOCL-00061,PIPE-4IN-SS316-SCH80-SMLS,901,732.28,Pipe 4 Inch Stainless Steel 316 Sch80 Seamless
IOCL-00087,VLV-GLB-3IN-CS-CL300,52,145823.75,Valve Globe 3 Inch Carbon Steel Class 300
IOCL-00092,PIPE-3IN-CS-SCH40-SMLS,575,2612.86,Pipe 3 Inch Carbon Steel Sch40 Seamless
IOCL-00101,Vlv-Gate-2In-Cs-Cl150,395,12688.92,Valve Gate 2 Inch Carbon Steel Class 150
IOCL-00053,SEAL-MECH-3IN-SS316,63,3092.38,Seal Mechanical 3 Inch Stainless Steel 316
IOCL-00149,CONTROL VALVE POSITIONER PNEUMATIC,4,10008.91,Control Valve Positioner Pneumatic
IOCL-00147,LIMIT SWITCH ROTARY TYPE,481,13395.03,Limit Switch Rotary Type
IOCL-00025,FIT-ELB-2IN-CS,268,697.99,Fitting Elbow 2 Inch Carbon Steel
IOCL-00067,VLV-CHK-2IN-SS304,13,32053.06,Valve Check 2 Inch Stainless Steel 304
IOCL-00002,VLV-GLB-1-1/2IN-SS316,61,110335.1,Valve Globe 1 1/2 Inch Stainless Steel 316
IOCL-00072,GSKT-SW-2IN-SS316,112,940.24,Gasket Spiral Wound 2 Inch Stainless Steel 316
IOCL-00096,VLV-CHK-2IN-SS304,32,74439.01,Valve Check 2 Inch Stainless Steel 304
IOCL-00090,SEAL-MECH-6IN-SS316,82,2421.76,Seal Mechanical 6 Inch Stainless Steel 316
IOCL-00077,GSKT-SW-4IN-GRPH,287,264.6,Gasket Spiral Wound 4 Inch Graphite
IOCL-00116,JUNCTION BOX SS304 IP65,144,4609.57,Junction Box Stainless Steel 304 Ip65
IOCL-00125,motor 3ph 415v 15kw tefc,408,15608.52,Motor 3Ph 415V 15Kw Tefc
IOCL-00034,BOLT-HX-3/4IN-CS-GRB7,1344,365.0,Bolt Hex 3/4 Inch Carbon Steel Grade B7
IOCL-00141,CONTROL VALVE POSITIONER PNEUMATIC,22,12744.84,Control Valve Positioner Pneumatic
IOCL-00136,FILTER ELEMENT 10 MICRON PLEATED,404,6541.72,Filter Element 10 Micron Pleated
IOCL-00063,VLV-CHK-2IN-SS304,52,134573.01,Valve Check 2 Inch Stainless Steel 304
IOCL-00024,VLV-CHK-2IN-SS304-CL150,60,103266.49,Valve Check 2 Inch Stainless Steel 304 Class 150
IOCL-00121,PRESSURE GAUGE 0-100 BAR 4IN DIAL,9,17658.6,Pressure Gauge 0 100 Bar 4 Inch Dial
IOCL-00064,VLV-BALL-3IN-SS316,4,85364.78,Valve Ball 3 Inch Stainless Steel 316
IOCL-00139,control valve positioner pneumatic,176,6195.81,Control Valve Positioner Pneumatic
IOCL-00044,CPLG-2IN-CS,1,4522.31,Coupling 2 Inch Carbon Steel
IOCL-00049,PUMP-CENTRF-50M3H-30M-CS,2,466835.4,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00086,Seal-Mech-3In-Ss316,63,3349.92,Seal Mechanical 3 Inch Stainless Steel 316
IOCL-00079,FLG-WN-4IN-SS316-CL300,3,18275.87,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
IOCL-00073,VLV-BALL-2IN-SS316-CL150,30,29612.37,Valve Ball 2 Inch Stainless Steel 316 Class 150
IOCL-00127,LIMIT SWITCH ROTARY TYPE,422,3274.49,Limit Switch Rotary Type
IOCL-00097,FLG - WN - 3IN - CS - CL150,68,28091.76,Flange Weld Neck 3 Inch Carbon Steel Class 150
IOCL-00119,FILTER ELEMENT 10 MICRON PLEATED,254,19925.26,Filter Element 10 Micron Pleated
IOCL-00058,FLG-BLIND-6IN-CS-CL150,90,38278.47,Flange Blind 6 Inch Carbon Steel Class 150
IOCL-00113,GSKT-SW-3IN-SS316,473,6854.27,Gasket Spiral Wound 3 Inch Stainless Steel 316
IOCL-00036,BOLT-STUD-M24-CS-GRB7,1775,262.81,Bolt Stud M24 Carbon Steel Grade B7
IOCL-00012,SEAL-ORING-2IN-SS316,90,255.12,Seal O-Ring 2 Inch Stainless Steel 316
IOCL-00107,PUMP-CENTRF-50M3H-30M-CS,451,380.93,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00032,PUMP - CENTRF - 100M3H - 50M - SS316,2,252389.36,Pump Centrifugal 100 Cubic Meters Per Hour 50M Stainless Steel 316
IOCL-00144,CABLE GLAND BRASS 20MM NPT,283,17846.33,Cable Gland Brass 20Mm Npt Thread
IOCL-00042,NUT-HX-M16-CS-GR8,1886,151.66,Nut Hex M16 Carbon Steel Grade 8
IOCL-00035,VLV-BFLY-8IN-SS316,87,15096.89,Valve Butterfly 8 Inch Stainless Steel 316
IOCL-00076,SEAL-ORING-2IN-SS316,191,2979.12,Seal O-Ring 2 Inch Stainless Steel 316
IOCL-00094,SEAL-MECH-3IN-SS316,148,7284.47,Seal Mechanical 3 Inch Stainless Steel 316
IOCL-00106,SEAL-ORING-2IN-SS316,420,6552.88,Seal O-Ring 2 Inch Stainless Steel 316
IOCL-00056,PIPE-3IN-CS-SCH40-SMLS,970,4458.62,Pipe 3 Inch Carbon Steel Sch40 Seamless
IOCL-00060,VLV-GATE-4IN-CS,15,79364.46,Valve Gate 4 Inch Carbon Steel
IOCL-00124,FILTER ELEMENT 10 MICRON PLEATED,54,17133.67,Filter Element 10 Micron Pleated
IOCL-00070,BOLT-STUD-M24-CS-GRB7,606,465.2,Bolt Stud M24 Carbon Steel Grade B7
IOCL-00046,VLV - BALL - 4IN - CS,81,4083.81,Valve Ball 4 Inch Carbon Steel
IOCL-00112,FLG - WN - 3IN - CS - CL150,267,16762.32,Flange Weld Neck 3 Inch Carbon Steel Class 150
IOCL-00040,FLG-BLIND-3IN-SS304-CL150,60,48297.51,Flange Blind 3 Inch Stainless Steel 304 Class 150
IOCL-00118,LIMIT SWITCH ROTARY TYPE,2,10616.53,Limit Switch Rotary Type
IOCL-00093,GSKT-SW-8IN-GRPH,228,114.45,Gasket Spiral Wound 8 Inch Graphite
IOCL-00111,VLV-BFLY-6IN-CS,338,7765.37,Valve Butterfly 6 Inch Carbon Steel
IOCL-00028,VLV-GATE-2IN-CS-CL150,2,100053.3,Valve Gate 2 Inch Carbon Steel Class 150
IOCL-00126,Pressure Gauge 0-100 Bar 4In Dial,113,17026.02,Pressure Gauge 0 100 Bar 4 Inch Dial
IOCL-00108,VLV-BALL-4IN-CS-CL150,148,16199.55,Valve Ball 4 Inch Carbon Steel Class 150
IOCL-00004,PIPE-2IN-CS-SCH40-SMLS,468,679.88,Pipe 2 Inch Carbon Steel Sch40 Seamless
IOCL-00088,Pump-Centrf-50M3H-30M-Cs,2,161094.23,Pump Centrifugal 50 Cubic Meters Per Hour 30M Carbon Steel
IOCL-00130,MOTOR 3PH 415V 15KW TEFC,349,13286.86,Motor 3Ph 415V 15Kw Tefc
IOCL-00018,VLV-GLB-1-1/2IN-SS316-CL150,3,89677.36,Valve Globe 1 1/2 Inch Stainless Steel 316 Class 150
IOCL-00095,FLG-WN-4IN-SS316-CL300,53,34354.57,Flange Weld Neck 4 Inch Stainless Steel 316 Class 300
IOCL-00110,VLV - BALL - 4IN - CS,424,18813.44,Valve Ball 4 Inch Carbon Steel
IOCL-00137,Control Valve Positioner Pneumatic,392,7361.05,Control Valve Positioner Pneumatic
IOCL-00089,pipe-3in-cs-sch40-smls,622,3618.9,Pipe 3 Inch Carbon Steel Sch40 Seamless
IOCL-00011,FIT-TEE-6IN-SS316,26,1590.79,Fitting Tee 6 Inch Stainless Steel 316
IOCL-00145,THERMOWELL SS316 6IN INSERTION,277,8716.17,Thermowell Stainless Steel 316 6 Inch Insertion
IOCL-00031,gskt-sw-6in-ss316,222,111.06,Gasket Spiral Wound 6 Inch Stainless Steel 316
IOCL-00078,BOLT-HX-M20-SS304-GRB8,677,216.42,Bolt Hex M20 Stainless Steel 304 Grade B8
